State,Unemployment
Alabama,7.1
Alaska,6.8
Arizona,8.1
Arkansas,7.2
California,10.1
Colorado,7.7
Connecticut,8.4
Delaware,7.1
Florida,8.2
Georgia,8.8
Hawaii,5.4
Idaho,6.6
Illinois,8.8
Indiana,8.4
Iowa,5.1
Kansas,5.6
Kentucky,8.1
Louisiana,5.9
Maine,7.2
Maryland,6.8
Massachusetts,6.7
Michigan,9.1
Minnesota,5.6
Mississippi,9.1
Missouri,6.7
Montana,5.8
Nebraska,3.9
Nevada,10.3
New Hampshire,5.7
New Jersey,9.6
New Mexico,6.8
New York,8.4
North Carolina,9.4
North Dakota,3.2
Ohio,6.9
Oklahoma,5.2
Oregon,8.5
Pennsylvania,8
Rhode Island,10.1
South Carolina,8.8
South Dakota,4.4
Tennessee,7.8
Texas,6.4
Utah,5.5
Vermont,5
Virginia,5.8
Washington,7.8
West Virginia,7.5
Wisconsin,6.8
Wyoming,5.1
