,Country Name,2016 [YR2016]
0,World,45.9
1,East Asia & Pacific,52.8
2,Europe & Central Asia,73.9
3,Latin America & Caribbean,56.4
4,Middle East & North Africa,47.6
5,North America,77.5
6,South Asia,26.5
7,Sub-Saharan Africa,20.0
8,Low income,12.5
9,Middle income,41.9
10,Lower middle income,29.9
11,Upper middle income,55.7
12,Low & middle income,39.0
13,High income,82.0
14,Euro area,80.4
15,OECD members,78.6
16,Fragile and conflict affected situations,17.5
17,Afghanistan,10.6
18,Albania,66.4
19,Algeria,42.9
20,American Samoa,
21,Andorra,97.9
22,Angola,13.0
23,Antigua and Barbuda,73.0
24,Argentina,70.2
25,Armenia,62.0
26,Aruba,93.5
27,Australia,88.2
28,Austria,84.3
29,Azerbaijan,78.2
30,"Bahamas, The",80.0
31,Bahrain,98.0
32,Bangladesh,18.2
33,Barbados,79.5
34,Belarus,71.1
35,Belgium,86.5
36,Belize,44.6
37,Benin,12.0
38,Bermuda,98.0
39,Bhutan,41.8
40,Bolivia,39.7
41,Bosnia and Herzegovina,69.3
42,Botswana,39.4
43,Brazil,59.7
44,British Virgin Islands,
45,Brunei Darussalam,75.0
46,Bulgaria,59.8
47,Burkina Faso,14.0
48,Burundi,5.2
49,Cabo Verde,48.2
50,Cambodia,25.6
51,Cameroon,25.0
52,Canada,89.8
53,Cayman Islands,79.0
54,Central African Republic,4.0
55,Chad,5.0
56,Channel Islands,
57,Chile,66.0
58,China,53.2
59,Colombia,58.1
60,Comoros,7.9
61,"Congo, Dem. Rep.",6.2
62,"Congo, Rep.",8.1
63,Costa Rica,66.0
64,Cote d'Ivoire,26.5
65,Croatia,72.7
66,Cuba,38.8
67,Curacao,61.9
68,Cyprus,75.9
69,Czech Republic,76.5
70,Denmark,97.0
71,Djibouti,13.1
72,Dominica,67.0
73,Dominican Republic,61.3
74,Ecuador,54.1
75,"Egypt, Arab Rep.",39.2
76,El Salvador,29.0
77,Equatorial Guinea,23.8
78,Eritrea,1.2
79,Estonia,87.2
80,Ethiopia,15.4
81,Faroe Islands,95.1
82,Fiji,46.5
83,Finland,87.7
84,France,85.6
85,French Polynesia,68.4
86,Gabon,48.1
87,"Gambia, The",18.5
88,Georgia,50.0
89,Germany,89.6
90,Ghana,34.7
91,Gibraltar,94.4
92,Greece,69.1
93,Greenland,68.5
94,Grenada,55.9
95,Guam,77.0
96,Guatemala,34.5
97,Guinea,9.8
98,Guinea-Bissau,3.8
99,Guyana,35.7
100,Haiti,12.2
101,Honduras,30.0
102,"Hong Kong SAR, China",87.3
103,Hungary,79.3
104,Iceland,98.2
105,India,29.5
106,Indonesia,25.4
107,"Iran, Islamic Rep.",53.2
108,Iraq,21.2
109,Ireland,82.2
110,Isle of Man,
111,Israel,79.8
112,Italy,61.3
113,Jamaica,45.0
114,Japan,92.0
115,Jordan,62.3
116,Kazakhstan,76.8
117,Kenya,26.0
118,Kiribati,13.7
119,"Korea, Dem. People’s Rep.",
120,"Korea, Rep.",92.7
121,Kosovo,
122,Kuwait,78.4
123,Kyrgyz Republic,34.5
124,Lao PDR,21.9
125,Latvia,79.9
126,Lebanon,76.1
127,Lesotho,27.4
128,Liberia,7.3
129,Libya,20.3
130,Liechtenstein,98.1
131,Lithuania,74.4
132,Luxembourg,97.5
133,"Macao SAR, China",81.6
134,"Macedonia, FYR",72.2
135,Madagascar,4.7
136,Malawi,9.6
137,Malaysia,78.8
138,Maldives,59.1
139,Mali,11.1
140,Malta,77.3
141,Marshall Islands,29.8
142,Mauritania,18.0
143,Mauritius,53.2
144,Mexico,59.5
145,"Micronesia, Fed. Sts.",33.4
146,Moldova,71.0
147,Monaco,95.2
148,Mongolia,22.3
149,Montenegro,69.9
150,Morocco,58.3
151,Mozambique,17.5
152,Myanmar,25.1
153,Namibia,31.0
154,Nauru,
155,Nepal,19.7
156,Netherlands,90.4
157,New Caledonia,74.0
158,New Zealand,88.5
159,Nicaragua,24.6
160,Niger,4.3
161,Nigeria,25.7
162,Northern Mariana Islands,
163,Norway,97.3
164,Oman,69.8
165,Pakistan,15.5
166,Palau,
167,Panama,54.0
168,Papua New Guinea,9.6
169,Paraguay,51.3
170,Peru,45.5
171,Philippines,55.5
172,Poland,73.3
173,Portugal,70.4
174,Puerto Rico,80.3
175,Qatar,94.3
176,Romania,59.5
177,Russian Federation,76.4
178,Rwanda,20.0
179,Samoa,29.4
180,San Marino,
181,Sao Tome and Principe,28.0
182,Saudi Arabia,73.8
183,Senegal,25.7
184,Serbia,67.1
185,Seychelles,56.5
186,Sierra Leone,11.8
187,Singapore,81.0
188,Sint Maarten (Dutch part),
189,Slovak Republic,80.5
190,Slovenia,75.5
191,Solomon Islands,11.0
192,Somalia,1.9
193,South Africa,54.0
194,South Sudan,6.7
195,Spain,80.6
196,Sri Lanka,32.1
197,St. Kitts and Nevis,76.8
198,St. Lucia,46.7
199,St. Martin (French part),
200,St. Vincent and the Grenadines,55.6
201,Sudan,28.0
202,Suriname,45.4
203,Swaziland,28.6
204,Sweden,91.5
205,Switzerland,89.4
206,Syrian Arab Republic,31.9
207,Tajikistan,20.5
208,Tanzania,13.0
209,Thailand,47.5
210,Timor-Leste,25.2
211,Togo,11.3
212,Tonga,40.0
213,Trinidad and Tobago,73.3
214,Tunisia,50.9
215,Turkey,58.3
216,Turkmenistan,18.0
217,Turks and Caicos Islands,
218,Tuvalu,46.0
219,Uganda,21.9
220,Ukraine,52.5
221,United Arab Emirates,90.6
222,United Kingdom,94.8
223,United States,76.2
224,Uruguay,66.4
225,Uzbekistan,46.8
226,Vanuatu,24.0
227,"Venezuela, RB",60.0
228,Vietnam,46.5
229,Virgin Islands (U.S.),59.6
230,West Bank and Gaza,61.2
231,"Yemen, Rep.",24.6
232,Zambia,25.5
233,Zimbabwe,23.1
