,Country Name,2016 [YR2016]
0,World,7442.14
60,East Asia & Pacific,2296.79
120,Europe & Central Asia,912.00
180,Latin America & Caribbean,637.66
240,Middle East & North Africa,436.72
300,North America,359.48
360,South Asia,1766.38
420,Sub-Saharan Africa,1033.11
480,Low income,659.27
540,Middle income,5592.83
600,Lower middle income,3012.92
660,Upper middle income,2579.91
720,Low & middle income,6252.11
780,High income,1190.03
840,Euro area,340.89
900,OECD members,1289.94
960,Fragile and conflict affected situations,505.64
1020,Afghanistan,34.66
1080,Albania,2.88
1140,Algeria,40.61
1200,American Samoa,0.06
1260,Andorra,0.08
1320,Angola,28.81
1380,Antigua and Barbuda,0.10
1440,Argentina,43.85
1500,Armenia,2.92
1560,Aruba,0.10
1620,Australia,24.13
1680,Austria,8.75
1740,Azerbaijan,9.76
1800,"Bahamas, The",0.39
1860,Bahrain,1.43
1920,Bangladesh,162.95
1980,Barbados,0.28
2040,Belarus,9.51
2100,Belgium,11.35
2160,Belize,0.37
2220,Benin,10.87
2280,Bermuda,0.07
2340,Bhutan,0.80
2400,Bolivia,10.89
2460,Bosnia and Herzegovina,3.52
2520,Botswana,2.25
2580,Brazil,207.65
2640,British Virgin Islands,0.03
2700,Brunei Darussalam,0.42
2760,Bulgaria,7.13
2820,Burkina Faso,18.65
2880,Burundi,10.52
2940,Cabo Verde,0.54
3000,Cambodia,15.76
3060,Cameroon,23.44
3120,Canada,36.29
3180,Cayman Islands,0.06
3240,Central African Republic,4.59
3300,Chad,14.45
3360,Channel Islands,0.16
3420,Chile,17.91
3480,China,1378.67
3540,Colombia,48.65
3600,Comoros,0.80
3660,"Congo, Dem. Rep.",78.74
3720,"Congo, Rep.",5.13
3780,Costa Rica,4.86
3840,Cote d'Ivoire,23.70
3900,Croatia,4.17
3960,Cuba,11.48
4020,Curacao,0.16
4080,Cyprus,1.17
4140,Czech Republic,10.56
4200,Denmark,5.73
4260,Djibouti,0.94
4320,Dominica,0.07
4380,Dominican Republic,10.65
4440,Ecuador,16.39
4500,"Egypt, Arab Rep.",95.69
4560,El Salvador,6.34
4620,Equatorial Guinea,1.22
4680,Eritrea,..
4740,Estonia,1.32
4800,Ethiopia,102.40
4860,Faroe Islands,0.05
4920,Fiji,0.90
4980,Finland,5.50
5040,France,66.90
5100,French Polynesia,0.28
5160,Gabon,1.98
5220,"Gambia, The",2.04
5280,Georgia,3.72
5340,Germany,82.67
5400,Ghana,28.21
5460,Gibraltar,0.03
5520,Greece,10.75
5580,Greenland,0.06
5640,Grenada,0.11
5700,Guam,0.16
5760,Guatemala,16.58
5820,Guinea,12.40
5880,Guinea-Bissau,1.82
5940,Guyana,0.77
6000,Haiti,10.85
6060,Honduras,9.11
6120,"Hong Kong SAR, China",7.35
6180,Hungary,9.82
6240,Iceland,0.33
6300,India,1324.17
6360,Indonesia,261.12
6420,"Iran, Islamic Rep.",80.28
6480,Iraq,37.20
6540,Ireland,4.77
6600,Isle of Man,0.08
6660,Israel,8.55
6720,Italy,60.60
6780,Jamaica,2.88
6840,Japan,126.99
6900,Jordan,9.46
6960,Kazakhstan,17.80
7020,Kenya,48.46
7080,Kiribati,0.11
7140,"Korea, Dem. People’s Rep.",25.37
7200,"Korea, Rep.",51.25
7260,Kosovo,1.82
7320,Kuwait,4.05
7380,Kyrgyz Republic,6.08
7440,Lao PDR,6.76
7500,Latvia,1.96
7560,Lebanon,6.01
7620,Lesotho,2.20
7680,Liberia,4.61
7740,Libya,6.29
7800,Liechtenstein,0.04
7860,Lithuania,2.87
7920,Luxembourg,0.58
7980,"Macao SAR, China",0.61
8040,"Macedonia, FYR",2.08
8100,Madagascar,24.89
8160,Malawi,18.09
8220,Malaysia,31.19
8280,Maldives,0.42
8340,Mali,17.99
8400,Malta,0.44
8460,Marshall Islands,0.05
8520,Mauritania,4.30
8580,Mauritius,1.26
8640,Mexico,127.54
8700,"Micronesia, Fed. Sts.",0.10
8760,Moldova,3.55
8820,Monaco,0.04
8880,Mongolia,3.03
8940,Montenegro,0.62
9000,Morocco,35.28
9060,Mozambique,28.83
9120,Myanmar,52.89
9180,Namibia,2.48
9240,Nauru,0.01
9300,Nepal,28.98
9360,Netherlands,17.02
9420,New Caledonia,0.28
9480,New Zealand,4.69
9540,Nicaragua,6.15
9600,Niger,20.67
9660,Nigeria,185.99
9720,Northern Mariana Islands,0.06
9780,Norway,5.23
9840,Oman,4.42
9900,Pakistan,193.20
9960,Palau,0.02
10020,Panama,4.03
10080,Papua New Guinea,8.08
10140,Paraguay,6.73
10200,Peru,31.77
10260,Philippines,103.32
10320,Poland,37.95
10380,Portugal,10.32
10440,Puerto Rico,3.41
10500,Qatar,2.57
10560,Romania,19.71
10620,Russian Federation,144.34
10680,Rwanda,11.92
10740,Samoa,0.20
10800,San Marino,0.03
10860,Sao Tome and Principe,0.20
10920,Saudi Arabia,32.28
10980,Senegal,15.41
11040,Serbia,7.06
11100,Seychelles,0.09
11160,Sierra Leone,7.40
11220,Singapore,5.61
11280,Sint Maarten (Dutch part),0.04
11340,Slovak Republic,5.43
11400,Slovenia,2.06
11460,Solomon Islands,0.60
11520,Somalia,14.32
11580,South Africa,55.91
11640,South Sudan,12.23
11700,Spain,46.44
11760,Sri Lanka,21.20
11820,St. Kitts and Nevis,0.05
11880,St. Lucia,0.18
11940,St. Martin (French part),0.03
12000,St. Vincent and the Grenadines,0.11
12060,Sudan,39.58
12120,Suriname,0.56
12180,Swaziland,1.34
12240,Sweden,9.90
12300,Switzerland,8.37
12360,Syrian Arab Republic,18.43
12420,Tajikistan,8.73
12480,Tanzania,55.57
12540,Thailand,68.86
12600,Timor-Leste,1.27
12660,Togo,7.61
12720,Tonga,0.11
12780,Trinidad and Tobago,1.36
12840,Tunisia,11.40
12900,Turkey,79.51
12960,Turkmenistan,5.66
13020,Turks and Caicos Islands,0.03
13080,Tuvalu,0.01
13140,Uganda,41.49
13200,Ukraine,45.00
13260,United Arab Emirates,9.27
13320,United Kingdom,65.64
13380,United States,323.13
13440,Uruguay,3.44
