,Country Name,2016 [YR2016]
0,World,7442.14
1,East Asia & Pacific,2296.79
2,Europe & Central Asia,912.00
3,Latin America & Caribbean,637.66
4,Middle East & North Africa,436.72
5,North America,359.48
6,South Asia,1766.38
7,Sub-Saharan Africa,1033.11
8,Low income,659.27
9,Middle income,5592.83
10,Lower middle income,3012.92
11,Upper middle income,2579.91
12,Low & middle income,6252.11
13,High income,1190.03
14,Euro area,340.89
15,OECD members,1289.94
16,Fragile and conflict affected situations,505.64
17,Afghanistan,34.66
18,Albania,2.88
19,Algeria,40.61
20,American Samoa,0.06
21,Andorra,0.08
22,Angola,28.81
23,Antigua and Barbuda,0.10
24,Argentina,43.85
25,Armenia,2.92
26,Aruba,0.10
27,Australia,24.13
28,Austria,8.75
29,Azerbaijan,9.76
30,"Bahamas, The",0.39
31,Bahrain,1.43
32,Bangladesh,162.95
33,Barbados,0.28
34,Belarus,9.51
35,Belgium,11.35
36,Belize,0.37
37,Benin,10.87
38,Bermuda,0.07
39,Bhutan,0.80
40,Bolivia,10.89
41,Bosnia and Herzegovina,3.52
42,Botswana,2.25
43,Brazil,207.65
44,British Virgin Islands,0.03
45,Brunei Darussalam,0.42
46,Bulgaria,7.13
47,Burkina Faso,18.65
48,Burundi,10.52
49,Cabo Verde,0.54
50,Cambodia,15.76
51,Cameroon,23.44
52,Canada,36.29
53,Cayman Islands,0.06
54,Central African Republic,4.59
55,Chad,14.45
56,Channel Islands,0.16
57,Chile,17.91
58,China,1378.67
59,Colombia,48.65
60,Comoros,0.80
61,"Congo, Dem. Rep.",78.74
62,"Congo, Rep.",5.13
63,Costa Rica,4.86
64,Cote d'Ivoire,23.70
65,Croatia,4.17
66,Cuba,11.48
67,Curacao,0.16
68,Cyprus,1.17
69,Czech Republic,10.56
70,Denmark,5.73
71,Djibouti,0.94
72,Dominica,0.07
73,Dominican Republic,10.65
74,Ecuador,16.39
75,"Egypt, Arab Rep.",95.69
76,El Salvador,6.34
77,Equatorial Guinea,1.22
78,Eritrea,..
79,Estonia,1.32
80,Ethiopia,102.40
81,Faroe Islands,0.05
82,Fiji,0.90
83,Finland,5.50
84,France,66.90
85,French Polynesia,0.28
86,Gabon,1.98
87,"Gambia, The",2.04
88,Georgia,3.72
89,Germany,82.67
90,Ghana,28.21
91,Gibraltar,0.03
92,Greece,10.75
93,Greenland,0.06
94,Grenada,0.11
95,Guam,0.16
96,Guatemala,16.58
97,Guinea,12.40
98,Guinea-Bissau,1.82
99,Guyana,0.77
100,Haiti,10.85
101,Honduras,9.11
102,"Hong Kong SAR, China",7.35
103,Hungary,9.82
104,Iceland,0.33
105,India,1324.17
106,Indonesia,261.12
107,"Iran, Islamic Rep.",80.28
108,Iraq,37.20
109,Ireland,4.77
110,Isle of Man,0.08
111,Israel,8.55
112,Italy,60.60
113,Jamaica,2.88
114,Japan,126.99
115,Jordan,9.46
116,Kazakhstan,17.80
117,Kenya,48.46
118,Kiribati,0.11
119,"Korea, Dem. People’s Rep.",25.37
120,"Korea, Rep.",51.25
121,Kosovo,1.82
122,Kuwait,4.05
123,Kyrgyz Republic,6.08
124,Lao PDR,6.76
125,Latvia,1.96
126,Lebanon,6.01
127,Lesotho,2.20
128,Liberia,4.61
129,Libya,6.29
130,Liechtenstein,0.04
131,Lithuania,2.87
132,Luxembourg,0.58
133,"Macao SAR, China",0.61
134,"Macedonia, FYR",2.08
135,Madagascar,24.89
136,Malawi,18.09
137,Malaysia,31.19
138,Maldives,0.42
139,Mali,17.99
140,Malta,0.44
141,Marshall Islands,0.05
142,Mauritania,4.30
143,Mauritius,1.26
144,Mexico,127.54
145,"Micronesia, Fed. Sts.",0.10
146,Moldova,3.55
147,Monaco,0.04
148,Mongolia,3.03
149,Montenegro,0.62
150,Morocco,35.28
151,Mozambique,28.83
152,Myanmar,52.89
153,Namibia,2.48
154,Nauru,0.01
155,Nepal,28.98
156,Netherlands,17.02
157,New Caledonia,0.28
158,New Zealand,4.69
159,Nicaragua,6.15
160,Niger,20.67
